ModelParam_M,D_emb,Vocal,D_Head,d_FF,N_Layer,N_Head,KV_Head,Window,GPU_use_MB
1607.8,4096,100000,128,14336,4,16,4,4096,6532.25
1607.8,4096,100000,128,14336,4,16,4,8192,6532.25
1624.5,4096,100000,128,14336,4,16,8,8192,6580.25
1624.5,4096,100000,128,14336,4,16,8,4096,6580.25
1674.9,4096,100000,128,14336,4,32,4,4096,6788.25
1674.9,4096,100000,128,14336,4,32,4,8192,6788.25
1691.7,4096,100000,128,14336,4,32,8,8192,6836.25
1691.7,4096,100000,128,14336,4,32,8,4096,6836.25
1804.9,4096,100000,128,14336,5,16,4,8192,7288.25
1804.9,4096,100000,128,14336,5,16,4,4096,7288.25
1825.9,4096,100000,128,14336,5,16,8,8192,7348.25
1825.9,4096,100000,128,14336,5,16,8,4096,7348.25
1888.8,4096,100000,128,14336,5,32,4,4096,7608.25
1888.8,4096,100000,128,14336,5,32,4,8192,7608.25
1909.8,4096,100000,128,14336,5,32,8,8192,7668.25
1909.8,4096,100000,128,14336,5,32,8,4096,7668.25
2002.0,4096,100000,128,14336,6,16,4,4096,8044.25
2002.0,4096,100000,128,14336,6,16,4,8192,8044.25
2027.2,4096,100000,128,14336,6,16,8,8192,8116.25
2027.2,4096,100000,128,14336,6,16,8,4096,8116.25
2102.7,4096,100000,128,14336,6,32,4,8192,8428.25
2102.7,4096,100000,128,14336,6,32,4,4096,8428.25
2127.9,4096,100000,128,14336,6,32,8,4096,8500.25
2127.9,4096,100000,128,14336,6,32,8,8192,8500.25
2396.3,4096,100000,128,14336,8,16,4,4096,9556.25
2396.3,4096,100000,128,14336,8,16,4,8192,9556.25
2429.9,4096,100000,128,14336,8,16,8,8192,9652.25
2429.9,4096,100000,128,14336,8,16,8,4096,9652.25
2530.5,4096,100000,128,14336,8,32,4,4096,10068.25
2530.5,4096,100000,128,14336,8,32,4,8192,10068.25
2564.1,4096,100000,128,14336,8,32,8,8192,10164.25
2564.1,4096,100000,128,14336,8,32,8,4096,10164.25
2790.6,4096,100000,128,14336,10,16,4,4096,11068.25
2790.6,4096,100000,128,14336,10,16,4,8192,11068.25
2832.6,4096,100000,128,14336,10,16,8,8192,11188.25
2832.6,4096,100000,128,14336,10,16,8,4096,11188.25
2958.4,4096,100000,128,14336,10,32,4,8192,11708.25
2958.4,4096,100000,128,14336,10,32,4,4096,11708.25
3000.3,4096,100000,128,14336,10,32,8,8192,11828.25
3000.3,4096,100000,128,14336,10,32,8,4096,11828.25
3184.9,4096,100000,128,14336,12,16,4,4096,12580.25
3184.9,4096,100000,128,14336,12,16,4,8192,12580.25
3235.2,4096,100000,128,14336,12,16,8,4096,12724.25
3235.2,4096,100000,128,14336,12,16,8,8192,12724.25
3386.2,4096,100000,128,14336,12,32,4,8192,13348.25
3386.2,4096,100000,128,14336,12,32,4,4096,13348.25
3436.5,4096,100000,128,14336,12,32,8,4096,13492.25
3436.5,4096,100000,128,14336,12,32,8,8192,13492.25
6704.9,4096,32000,128,14336,32,16,8,4096,25956.25
7241.7,4096,32000,128,14336,32,32,8,8192,28004.25
